company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
Accelleron Industries AG,5083371192,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,3.5,2022-12-31,54,P1Y,Clarity AI,2022-12-31 00:00:00,E,
China Resources Microelectronics Ltd,4295871923,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,43.34,2021-12-31,43,P1Y,Clarity AI,2021-12-31 00:00:00,E,Cayman Islands
Chunghwa Picture Tubes Ltd,4295892229,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,200.0,2016-12-31,57,P1Y,Clarity AI,,E,"Taiwan, China"
Chunghwa Picture Tubes Ltd,4295892229,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,200.0,2017-12-31,57,P1Y,Clarity AI,2017-12-31 00:00:00,E,"Taiwan, China"
Everest Textile Co Ltd,4295891532,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,48.73,2020-12-31,53,P1Y,Clarity AI,,E,"Taiwan, China"
Genting Hong Kong Ltd,4295871135,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,66.0,2020-12-31,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Orlen Unipetrol as,4295865833,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,356.7,2022-12-31,42,P1Y,Clarity AI,2022-12-31 00:00:00,E,Czech Republic
Pertamina (Persero) PT,5000067369,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,195889.67,2022-12-31,45,P1Y,Clarity AI,2022-12-31 00:00:00,E,Indonesia
SK IE Technology Co Ltd,5069469748,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,149.86,2021-12-31,50,P1Y,Clarity AI,2021-12-31 00:00:00,E,"Korea, Rep."
Seligdar PAO,4298077074,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,95.0,2020-12-31,52,P1Y,Clarity AI,,E,Russian Federation
Repsol SA,4295889563,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,24361.0,2020-12-31,347,P1Y,Clarity AI,,E,Spain
Fluidra SA,4295889265,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,46.0,2016-12-31,329,P1Y,Clarity AI,,E,Spain
Fluidra SA,4295889265,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,110.97,2017-12-31,329,P1Y,Clarity AI,,E,Spain
Fluidra SA,4295889265,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,127.22,2019-12-31,329,P1Y,Clarity AI,,E,Spain
Fluidra SA,4295889265,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,130.3,2020-12-31,329,P1Y,Clarity AI,,E,Spain
Fluidra SA,4295889265,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,115.43,2018-12-31,329,P1Y,Clarity AI,,E,Spain
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,41000.0,2017-12-31,306,P1Y,Clarity AI,2017-12-31 00:00:00,E,South Africa
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,38300.0,2020-12-31,306,P1Y,Clarity AI,,E,South Africa
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,33700.0,2019-12-31,306,P1Y,Clarity AI,2019-12-31 00:00:00,E,South Africa
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,46100.0,2016-12-31,306,P1Y,Clarity AI,2016-12-31 00:00:00,E,South Africa
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,27800.0,2021-12-31,306,P1Y,Clarity AI,2021-12-31 00:00:00,E,South Africa
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,26300.0,2022-12-31,306,P1Y,Clarity AI,2022-12-31 00:00:00,E,South Africa
Sasol Ltd,4295889096,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,28000.0,2018-12-31,306,P1Y,Clarity AI,2018-12-31 00:00:00,E,South Africa
Trane Technologies PLC,5000668795,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,301.74,2019-12-31,304,P1Y,Clarity AI,,E,Ireland
Trane Technologies PLC,5000668795,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,289.23,2016-12-31,304,P1Y,Clarity AI,,E,Ireland
Trane Technologies PLC,5000668795,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,210.94,2021-12-31,304,P1Y,Clarity AI,2021-12-31 00:00:00,E,Ireland
Trane Technologies PLC,5000668795,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,213.0,2020-12-31,304,P1Y,Clarity AI,,E,Ireland
Trane Technologies PLC,5000668795,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,269.0,2017-12-31,304,P1Y,Clarity AI,2017-12-31 00:00:00,E,Ireland
Trane Technologies PLC,5000668795,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,284.66,2018-12-31,304,P1Y,Clarity AI,,E,Ireland
Ferrari NV,5048024162,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,62.0,2021-12-31,302,P1Y,Clarity AI,2021-12-31 00:00:00,E,Netherlands
Ferrari NV,5048024162,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,52.507,2016-12-31,302,P1Y,Clarity AI,,E,Netherlands
Ferrari NV,5048024162,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,55.98,2017-12-31,302,P1Y,Clarity AI,,E,Netherlands
Ferrari NV,5048024162,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,43.393,2019-12-31,302,P1Y,Clarity AI,,E,Netherlands
Ferrari NV,5048024162,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,50.913,2018-12-31,302,P1Y,Clarity AI,,E,Netherlands
Ferrari NV,5048024162,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,46.44,2020-12-31,302,P1Y,Clarity AI,,E,Netherlands
Gail (India) Ltd,4295873202,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,88.0,2023-12-31,300,P1Y,Clarity AI,2023-12-31 00:00:00,E,India
Gail (India) Ltd,4295873202,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,70.0,2021-12-31,300,P1Y,Clarity AI,2021-12-31 00:00:00,E,India
Gail (India) Ltd,4295873202,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,63.0,2019-12-31,300,P1Y,Clarity AI,,E,India
Gail (India) Ltd,4295873202,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,72.0,2020-12-31,300,P1Y,Clarity AI,,E,India
Gail (India) Ltd,4295873202,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,75.0,2018-12-31,300,P1Y,Clarity AI,2018-12-31 00:00:00,E,India
Gail (India) Ltd,4295873202,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,53.0,2017-12-31,300,P1Y,Clarity AI,,E,India
Ferrovial SA,4295889649,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,267.83,2017-12-31,295,P1Y,Clarity AI,2017-12-31 00:00:00,E,Spain
Ferrovial SA,4295889649,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,283.96,2019-12-31,295,P1Y,Clarity AI,2019-12-31 00:00:00,E,Spain
Far Eastern New Century Corp,4295892119,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,504.0,2020-12-31,293,P1Y,Clarity AI,,E,"Taiwan, China"
Far Eastern New Century Corp,4295892119,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,447.0,2017-12-31,293,P1Y,Clarity AI,,E,"Taiwan, China"
Far Eastern New Century Corp,4295892119,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,465.0,2018-12-31,293,P1Y,Clarity AI,,E,"Taiwan, China"
Far Eastern New Century Corp,4295892119,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,443.0,2016-12-31,293,P1Y,Clarity AI,,E,"Taiwan, China"
Far Eastern New Century Corp,4295892119,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,423.0,2019-12-31,293,P1Y,Clarity AI,,E,"Taiwan, China"
Far Eastern New Century Corp,4295892119,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,502.0,2021-12-31,293,P1Y,Clarity AI,2021-12-31 00:00:00,E,"Taiwan, China"
OMV AG,4295859007,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,10898.0,2020-12-31,290,P1Y,Clarity AI,,E,Austria
OMV AG,4295859007,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,8689.0,2017-12-31,290,P1Y,Clarity AI,,E,Austria
OMV AG,4295859007,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,11011.0,2019-12-31,290,P1Y,Clarity AI,2019-12-31 00:00:00,E,Austria
OMV AG,4295859007,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,10229.0,2016-12-31,290,P1Y,Clarity AI,,E,Austria
OMV AG,4295859007,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,9400.0,2018-12-31,290,P1Y,Clarity AI,,E,Austria
Owens Corning,4295904703,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2228.0,2019-12-31,285,P1Y,Clarity AI,,E,United States
Owens Corning,4295904703,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2323.0,2021-12-31,285,P1Y,Clarity AI,2021-12-31 00:00:00,E,United States
Owens Corning,4295904703,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2041.0,2020-12-31,285,P1Y,Clarity AI,,E,United States
Owens Corning,4295904703,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2179.0,2017-12-31,285,P1Y,Clarity AI,2017-12-31 00:00:00,E,United States
Thai Oil PCL,4295893454,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1420.0,2017-12-31,282,P1Y,Clarity AI,2017-12-31 00:00:00,E,Thailand
Delta Electronics Thailand PCL,4295892924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,28.3,2020-12-31,282,P1Y,Clarity AI,,E,Thailand
Thai Oil PCL,4295893454,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1460.0,2016-12-31,282,P1Y,Clarity AI,,E,Thailand
Thai Oil PCL,4295893454,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1430.0,2018-12-31,282,P1Y,Clarity AI,,E,Thailand
Thai Oil PCL,4295893454,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1300.0,2020-12-31,282,P1Y,Clarity AI,,E,Thailand
Delta Electronics Thailand PCL,4295892924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1.8,2018-12-31,282,P1Y,Clarity AI,,E,Thailand
Delta Electronics Thailand PCL,4295892924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.36,2016-12-31,282,P1Y,Clarity AI,,E,Thailand
Thai Oil PCL,4295893454,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1270.0,2021-12-31,282,P1Y,Clarity AI,2021-12-31 00:00:00,E,Thailand
Thai Oil PCL,4295893454,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1350.0,2019-12-31,282,P1Y,Clarity AI,,E,Thailand
Delta Electronics Thailand PCL,4295892924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.15,2017-12-31,282,P1Y,Clarity AI,,E,Thailand
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,700.0,2019-12-31,281,P1Y,Clarity AI,,E,United States
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,665.33,2020-12-31,281,P1Y,Clarity AI,,E,United States
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,400.0,2017-12-31,281,P1Y,Clarity AI,,E,United States
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,591.64,2021-12-31,281,P1Y,Clarity AI,2021-12-31 00:00:00,E,United States
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,300.0,2018-12-31,281,P1Y,Clarity AI,,E,United States
Mytilineos SA,4295870463,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,3.1,2020-12-31,281,P1Y,Clarity AI,,E,Greece
Mytilineos SA,4295870463,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,3.9,2021-12-31,281,P1Y,Clarity AI,2021-12-31 00:00:00,E,Greece
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,500.0,2016-12-31,281,P1Y,Clarity AI,,E,United States
Newmont Corporation,4295904618,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,524.23,2022-12-31,281,P1Y,Clarity AI,2022-12-31 00:00:00,E,United States
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1210.0,2017-12-31,279,P1Y,Clarity AI,,E,Thailand
Novartis AG,4295890628,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,454.6,2020-12-31,279,P1Y,Clarity AI,,E,Switzerland
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,777.0,2019-12-31,279,P1Y,Clarity AI,,E,Thailand
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,802.0,2018-12-31,279,P1Y,Clarity AI,,E,Thailand
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,754.0,2022-12-31,279,P1Y,Clarity AI,2022-12-31 00:00:00,E,Thailand
Novartis AG,4295890628,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,313.9,2022-12-31,279,P1Y,Clarity AI,2022-12-31 00:00:00,E,Switzerland
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,804.0,2020-12-31,279,P1Y,Clarity AI,,E,Thailand
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,816.44,2021-12-31,279,P1Y,Clarity AI,2021-12-31 00:00:00,E,Thailand
PTT Global Chemical PCL,5036162966,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1302.0,2016-12-31,279,P1Y,Clarity AI,,E,Thailand
Novartis AG,4295890628,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,305.5,2021-12-31,279,P1Y,Clarity AI,,E,Switzerland
E Ink Holdings Inc,4295892214,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,8.5568,2021-12-31,278,P1Y,Clarity AI,2021-12-31 00:00:00,E,"Taiwan, China"
GMK Noril'skiy Nikel' PAO,4295887092,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2549.5,2020-12-31,276,P1Y,Clarity AI,,E,Russian Federation
GMK Noril'skiy Nikel' PAO,4295887092,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1372.7,2021-12-31,276,P1Y,Clarity AI,2021-12-31 00:00:00,E,Russian Federation
Fortescue Metals Group Ltd,4295857514,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,955.0,2022-12-31,275,P1Y,Clarity AI,2022-12-31 00:00:00,E,Australia
Indorama Ventures PCL,5000045221,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,4642.0,2018-12-31,275,P1Y,Clarity AI,,E,Thailand
Fortescue Metals Group Ltd,4295857514,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,956.0,2021-12-31,275,P1Y,Clarity AI,2021-12-31 00:00:00,E,Australia
Indorama Ventures PCL,5000045221,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2078.0,2017-12-31,275,P1Y,Clarity AI,,E,Thailand
Indorama Ventures PCL,5000045221,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2123.0,2019-12-31,275,P1Y,Clarity AI,,E,Thailand
Indorama Ventures PCL,5000045221,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2042.0,2016-12-31,275,P1Y,Clarity AI,,E,Thailand
Indorama Ventures PCL,5000045221,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2364.0,2021-12-31,275,P1Y,Clarity AI,2021-12-31 00:00:00,E,Thailand
Motor Oil Hellas Corinth Refineries SA,4295870779,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2147.0,2020-12-31,275,P1Y,Clarity AI,,E,Greece
Indorama Ventures PCL,5000045221,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,3298.0,2020-12-31,275,P1Y,Clarity AI,,E,Thailand
Freeport-McMoRan Inc,4295908588,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,8300.0,2020-12-31,274,P1Y,Clarity AI,,E,United States
Siam Cement PCL,4295892800,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,430.0,2021-12-31,274,P1Y,Clarity AI,2021-12-31 00:00:00,E,Thailand
Iberdrola SA,4295889602,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,449.33,2019-12-31,273,P1Y,Clarity AI,,E,Spain
Iberdrola SA,4295889602,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,464.8,2020-12-31,273,P1Y,Clarity AI,,E,Spain
Bank of America Corp,8589934339,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.0,2018-12-31,272,P1Y,Clarity AI,,E,United States
Givaudan SA,4295890924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,405.0,2019-12-31,272,P1Y,Clarity AI,,E,Switzerland
Givaudan SA,4295890924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,465.0,2018-12-31,272,P1Y,Clarity AI,,E,Switzerland
Bank of America Corp,8589934339,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.0,2020-12-31,272,P1Y,Clarity AI,,E,United States
Givaudan SA,4295890924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1018.0,2020-12-31,272,P1Y,Clarity AI,,E,Switzerland
Bank of America Corp,8589934339,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.0,2017-12-31,272,P1Y,Clarity AI,,E,United States
Bank of America Corp,8589934339,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.0,2021-12-31,272,P1Y,Clarity AI,2021-12-31 00:00:00,E,United States
Givaudan SA,4295890924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1069.22,2021-12-31,272,P1Y,Clarity AI,2021-12-31 00:00:00,E,Switzerland
Givaudan SA,4295890924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,469.0,2017-12-31,272,P1Y,Clarity AI,,E,Switzerland
Givaudan SA,4295890924,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,521.0,2016-12-31,272,P1Y,Clarity AI,,E,Switzerland
Bank of America Corp,8589934339,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.0,2016-12-31,272,P1Y,Clarity AI,,E,United States
Recordati Industria Chimica e Farmaceutica SpA,4295875399,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,19.067,2021-12-31,271,P1Y,Clarity AI,2021-12-31 00:00:00,E,Italy
Stellantis NV,5043319761,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,14858.0,2017-12-31,271,P1Y,Clarity AI,2017-12-31 00:00:00,E,Netherlands
Stellantis NV,5043319761,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,9456.0,2020-12-31,271,P1Y,Clarity AI,,E,Netherlands
PTT PCL,4295893306,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,9670.56,2018-12-31,271,P1Y,Clarity AI,,E,Thailand
Metsa Board Oyj,4295866436,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,0.0,2022-12-31,271,P1Y,Clarity AI,2022-12-31 00:00:00,E,Finland
PTT PCL,4295893306,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,1812.16,2022-12-31,271,P1Y,Clarity AI,2022-12-31 00:00:00,E,Thailand
Shanghai Fosun Pharmaceutical Group Co Ltd,4295863746,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,24.2,2020-12-31,271,P1Y,Clarity AI,,E,China
Recordati Industria Chimica e Farmaceutica SpA,4295875399,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,23.17,2020-12-31,271,P1Y,Clarity AI,,E,Italy
PTT PCL,4295893306,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,10384.24,2017-12-31,271,P1Y,Clarity AI,,E,Thailand
Recordati Industria Chimica e Farmaceutica SpA,4295875399,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,17.224,2022-12-31,271,P1Y,Clarity AI,2022-12-31 00:00:00,E,Italy
Recordati Industria Chimica e Farmaceutica SpA,4295875399,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,2.586,2019-12-31,271,P1Y,Clarity AI,,E,Italy
Recordati Industria Chimica e Farmaceutica SpA,4295875399,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,4.178,2018-12-31,271,P1Y,Clarity AI,,E,Italy
Recordati Industria Chimica e Farmaceutica SpA,4295875399,float,REPORTED,Amount of Volatile Organic Compounds (VOC) emitted by the company.,VOCEMISSIONS,Tons of VOC,13.304,2017-12-31,271,P1Y,Clarity AI,2017-12-31 00:00:00,E,Italy
